gnl|X|PROKKA_contig000001	PROKKA_00002	304	1473	1	375	PF00171	0.0213799002019
gnl|X|PROKKA_contig000001	PROKKA_00003	1637	2485	8	148	PF05544	0.0132193996498
gnl|X|PROKKA_contig000001	PROKKA_00003	1637	2485	12	82	PF02567	0.00622758238799
gnl|X|PROKKA_contig000001	PROKKA_00004	2704	3606	5	273	PF00701	0.000985824895298
gnl|X|PROKKA_contig000001	PROKKA_00004	2704	3606	49	117	PF01068	0.00126656748683
gnl|X|PROKKA_contig000001	PROKKA_00004	2704	3606	140	170	PF00376	0.00224760708655
gnl|X|PROKKA_contig000001	PROKKA_00004	2704	3606	149	181	PF03551	0.00501113735233
gnl|X|PROKKA_contig000001	PROKKA_00005	3857	4402	1	36	PF00392	0.00607101907244
gnl|X|PROKKA_contig000001	PROKKA_00005	3857	4402	1	34	PF01325	0.0122522627964
gnl|X|PROKKA_contig000001	PROKKA_00005	3857	4402	1	27	PF13412	0.01440856307
gnl|X|PROKKA_contig000001	PROKKA_00005	3857	4402	46	170	PF07729	0.0165779244357
gnl|X|PROKKA_contig000001	PROKKA_00010	8027	8290	10	38	PF09346	0.0027204091804
gnl|X|PROKKA_contig000001	PROKKA_00010	8027	8290	23	84	PF09346	0.00261590656291
gnl|X|PROKKA_contig000001	PROKKA_00011	9031	9432	1	104	PF03781	0.0132170701625
gnl|X|PROKKA_contig000001	PROKKA_00012	9465	9923	10	147	PF12158	0.0450201808575
gnl|X|PROKKA_contig000001	PROKKA_00012	9465	9923	13	104	PF04156	0.0783217506086
gnl|X|PROKKA_contig000001	PROKKA_00012	9465	9923	123	148	PF04156	0.0793628644206
gnl|X|PROKKA_contig000001	PROKKA_00013	10148	10348	1	41	PF13518	0.0584413560244
gnl|X|PROKKA_contig000001	PROKKA_00013	10148	10348	2	48	PF13551	0.0384320987604
gnl|X|PROKKA_contig000001	PROKKA_00013	10148	10348	14	65	PF13565	0.0192805070498
gnl|X|PROKKA_contig000001	PROKKA_00014	10355	11197	1	140	PF07592	0.000934335039329
gnl|X|PROKKA_contig000001	PROKKA_00014	10355	11197	2	61	PF00665	0.000593298377588
gnl|X|PROKKA_contig000001	PROKKA_00014	10355	11197	21	69	PF09949	0.000544725518712
gnl|X|PROKKA_contig000001	PROKKA_00014	10355	11197	65	210	PF13358	0.000451823389699
gnl|X|PROKKA_contig000001	PROKKA_00014	10355	11197	116	197	PF00665	0.000242367377031
gnl|X|PROKKA_contig000001	PROKKA_00014	10355	11197	162	216	PF07592	0.000175865491385
gnl|X|PROKKA_contig000001	PROKKA_00015	11163	12449	5	52	PF13565	0.00276113543575
gnl|X|PROKKA_contig000001	PROKKA_00015	11163	12449	19	396	PF00872	0.00534666017915
gnl|X|PROKKA_contig000001	PROKKA_00015	11163	12449	100	162	PF13565	0.00624398507026
gnl|X|PROKKA_contig000001	PROKKA_00015	11163	12449	191	283	PF10551	0.00708481464184
gnl|X|PROKKA_contig000001	PROKKA_00015	11163	12449	271	306	PF13565	0.00695909955187
gnl|X|PROKKA_contig000001	PROKKA_00015	11163	12449	356	406	PF13565	0.00676800373696
